bin,radius_mid,int_S,int_K,int_SK,radialized_force,covariance_force
0,0.034164065772965935,0.0,0.0,0.0,0.0,0.0
1,0.1024921973188978,-1.2354745973672585,-0.05365541875238323,8.239534787028282,8.239528675492847,6.1115354341723105e-06
2,0.17082032886482967,-3.6767395314028395,-0.16174829906333898,24.641155078079034,24.639749755115243,0.0014053229637909226
3,0.23914846041076154,-7.796917574029913,-0.37077252232324287,51.593080460438074,51.33190774178474,0.26117271865333436
4,0.3074765919566934,-7.502744724967998,-0.4692029859265462,54.57499414948364,48.61758571346022,5.957408436023421
5,0.3758047235026253,-2.4283523001400713,-0.4645544449407048,24.174834650131253,9.347856026103274,14.826978624027978
6,0.44413285504855715,31.82060280523993,-0.0925677206420815,-41.99299091071226,-14.644782445870998,-27.34820846484126
7,0.512460986594489,63.1892789926069,-0.0018022277646896762,-39.47296772272743,-0.5897891717960136,-38.88317855093142
8,0.5807891181404209,158.65381004564094,-0.00023583521885875425,-30.636114399947644,-0.12569337981837148,-30.51042102012927
9,0.6491172496863528,244.57656157590944,-0.00601883144926306,-22.480752171129865,-4.066019559381077,-18.41473261174879
10,0.7174453812322846,275.65823216075046,-0.0012076274645117652,-14.94144441433366,-0.8113135559887044,-14.130130858344955
11,0.7857735127782165,361.157933170486,0.0002098570999890803,-6.566034634196114,0.1290484897884915,-6.695083123984606
12,0.8541016443241484,250.75103965293715,0.0008774215963128218,-3.411563993425858,0.3963299859170719,-3.8078939793429303
13,0.9224297758700802,237.31133139060032,-0.0006582559017647011,-2.2812074069509336,-0.20016883601510385,-2.0810385709358297
14,0.9907579074160121,137.42513300028781,0.000800515395225937,-0.7208456506652325,0.14243593868533963,-0.8632815893505722
15,1.059086038961944,96.51202451607188,-0.000563090941935171,-0.44832289802298675,-0.04894810029199731,-0.39937479773098944
16,1.1274141705078757,29.593515101471766,-0.00028321199669442687,-0.14134970924318147,-0.008609497209722886,-0.1327402120334586
17,1.1957423020538078,11.466312741802662,0.00020466420720030576,-0.026629142205636946,0.001984281604583576,-0.02861342381022052
18,1.2640704335997395,-0.3009367491914471,0.00010693367195969972,-0.011304951147490113,-2.2221438062992313e-05,-0.011282729709427121
19,1.3323985651456716,-2.976083540421385,-9.712156909523484e-05,-0.0017455160862573926,0.00019848934285600294,-0.0019440054291133956
20,1.4007266966916032,-2.549793704606131,-2.995977361658353e-05,-0.00025129910909230113,4.1104233367244316e-05,-0.0002924033424595454
21,1.4690548282375353,-1.1810360535847462,0.00010192114657624207,-0.00022795344906219317,-6.208195350868393e-05,-0.00016587149555350925
22,1.537382959783467,-0.44098581855077745,-6.917344345544474e-05,-1.56425021252439e-05,1.6413719204659647e-05,-3.205622132990355e-05
23,1.605711091329399,-0.2111595385059314,3.3620162173467194e-05,-3.8268190323337975e-05,-3.2681479173609527e-06,-3.500004240597702e-05
24,1.6740392228753307,-0.08551969110267615,5.168336474127566e-05,-8.200285013670525e-06,-1.881434105714007e-06,-6.3188509079565175e-06
25,1.7423673544212628,-0.03440283050755993,-5.6501605223066576e-05,-1.07810340225405e-06,7.526704924635433e-07,-1.8307738947175933e-06
26,1.8106954859671944,-0.013995676675160953,-1.8954254242031787e-05,-7.165419383403388e-07,8.911562128221445e-08,-8.056575596225533e-07
27,1.8790236175131265,-0.004583873438460223,4.3063790156436244e-05,-1.1530556096389579e-07,-6.815493823419902e-08,-4.715062272969677e-08
28,1.9473517490590582,-0.001850963328898347,1.6614934752634536e-05,-6.977162922327455e-09,-9.368957141398807e-09,2.391794219071352e-09
29,2.0156798806049903,-0.0006716340468668395,-3.4302115294509994e-05,1.2146358129319998e-08,6.80184092124213e-09,5.344517208077868e-09
30,2.084008012150922,-0.00027828411047219526,3.648014583194914e-05,-2.045961577561599e-09,-2.5804240256295793e-09,5.344624480679801e-10
31,2.152336143696854,-9.826103154686819e-05,-1.8905411342987066e-05,1.58458545452508e-09,4.741256483379505e-10,1.1104598061871295e-09
32,2.2206642752427856,-3.9754944165369666e-05,-2.9252015201139403e-05,-2.2268655270079094e-11,2.8342080208545745e-10,-3.0568945735553654e-10
33,2.2889924067887177,-1.6239757220958426e-05,2.913492601339107e-05,1.7147798212664745e-11,-1.0052927406101895e-10,1.1767707227368368e-10
34,2.3573205383346494,-5.844191160428843e-06,5.711687624171402e-06,5.756494361706316e-11,-7.008452180969942e-12,6.45733957980331e-11
35,2.4256486698805815,-2.2577803656142933e-06,-2.1627050829003958e-05,3.186212038382862e-11,9.409666663177294e-12,2.245245372065133e-11
36,2.493976801426513,-7.676535283933583e-07,1.6635046954371902e-06,1.6596848843390524e-11,-2.5518424482624993e-13,1.6852033088216773e-11
37,2.562304932972445,-3.285523187799688e-07,8.205699595670302e-06,5.523963184946099e-12,-4.67364751831844e-13,5.991327936777943e-12
38,2.630633064518377,-1.2390653708841614e-07,-1.4987769914945326e-05,2.4065129658322625e-12,3.1277341772322273e-13,2.0937395481090397e-12
39,2.698961196064309,-4.805244759302024e-08,1.1454518107828493e-05,5.170219422719586e-13,-8.896536351477505e-14,6.059873057867336e-13
40,2.7672893276102406,-1.9720140160646795e-08,7.446538711139428e-06,2.409675424476618e-13,-2.1885343066805655e-14,2.628528855144675e-13
41,2.8356174591561727,-7.870425787245382e-09,-6.65092178575577e-06,8.008058644511019e-14,7.547928256677787e-15,7.25326581884324e-14
42,2.9039455907021043,-3.1014601954520016e-09,-6.25579124591269e-06,1.3305948956924193e-14,2.7157541667920214e-15,1.0590194790132172e-14
43,2.9722737222480364,-1.2202156569822109e-09,6.167355266054053e-06,5.458368000282677e-15,-9.99343222565421e-16,6.457711222848098e-15
44,3.040601853793968,-4.857273211409846e-10,-5.226550177039879e-06,7.098639818973646e-15,3.2835166994480867e-16,6.7702881490288374e-15
45,3.1089299853399,-2.0448661109653547e-10,1.180425471078439e-06,4.0363160458881604e-16,-2.833103561824737e-17,4.319626402070634e-16
46,3.177258116885832,-7.749423797466246e-11,8.774609953979273e-06,1.7882608168570317e-16,-7.711549292478949e-17,2.5594157461049267e-16
47,3.245586248431764,-3.023226008168888e-11,-2.1444549440266525e-05,1.0440888426741787e-15,7.319057896819565e-17,9.708982637059831e-16
48,3.3139143799776956,-1.1098647867595305e-11,-4.7181207105728706e-05,5.982612447209816e-17,6.381075883033973e-17,-3.984634358241571e-18
49,3.3822425115236276,-4.566598290584795e-12,-6.53171584643758e-05,-4.461716692010957e-17,3.439190975871109e-17,-7.900907667882067e-17
50,3.4505706430695593,-1.6062328352634615e-12,-7.060903820194087e-05,1.724990921550202e-16,1.4502988117583216e-17,1.5799610403743697e-16
51,3.5188987746154914,-6.071994528964026e-13,-7.759480292730825e-05,1.8014402831843083e-17,6.119374449462714e-18,1.189502838238037e-17
52,3.587226906161423,-1.877759713663766e-13,-7.707311038181175e-05,1.5631996941724966e-17,1.9447157474769414e-18,1.3687281194248026e-17
53,3.655555037707355,-7.190739385582544e-14,-7.715015492792965e-05,4.590387436148258e-17,7.661658713348883e-19,4.5137708490147694e-17
54,3.7238831692532868,-2.3371922112024686e-14,-7.647959884557465e-05,1.6999711424688448e-17,2.5076173748003753e-19,1.674894968720841e-17
55,3.792211300799219,-1.2183047345081134e-14,-6.584228739314746e-05,1.004992761641473e-17,1.2636849096773952e-19,9.92355912544699e-18
56,3.8605394323451505,-1.5531911004516293e-14,-6.559188119930476e-05,8.577455468777275e-18,1.586817748787701e-19,8.418773693898505e-18
57,3.9288675638910826,-1.3053975450161143e-14,-5.83408762869983e-05,7.113472676233779e-18,1.2967248692906578e-19,6.983800189304714e-18
58,3.9971956954370143,-1.0543518378009852e-14,-5.501462041421906e-05,4.921140457669641e-18,1.0055403096423895e-19,4.820586426705402e-18
59,4.065523826982947,-6.759616731255357e-15,-4.55878223348527e-05,3.3929200614985324e-18,6.128382483056563e-20,3.331636236667967e-18
60,4.1338519585288775,-3.839083879396378e-15,-4.22679534507614e-05,1.7425813077993722e-18,3.3282899829751055e-20,1.7092984079696211e-18
61,4.20218009007481,-2.0433532090688086e-15,-3.6803411659312724e-05,8.461359085610538e-19,1.7026059226184862e-20,8.29109849334869e-19
62,4.270508221620743,-1.1588676224561814e-15,-3.135315798184074e-05,3.6244510242135357e-19,9.160583999118634e-21,3.5328451842223496e-19
63,4.338836353166673,-4.0683547947022976e-16,-2.7390036354053848e-05,3.5478623223950585e-19,3.0778955342720414e-21,3.5170833670523383e-19
64,4.407164484712606,-4.3834384569192226e-17,-2.227395627754647e-05,8.157521481035163e-21,3.2275976602235955e-22,7.834761715012803e-21
65,4.475492616258537,-3.1282205886954203e-17,-1.7913567163393984e-05,3.037244344203169e-20,2.2324400901723394e-22,3.0149199433014456e-20
66,4.543820747804469,-3.8898920335822745e-17,-1.4424023544498676e-05,8.633897998932621e-20,2.734882990314919e-22,8.606549169029472e-20
