lambda,category,scaled_center,scaled_payload_radius,E,E2,E4,V,derrick_derivative,derrick_derivative_over_E,dilation_curvature,active_total,active_over_energy,negative_active_volume_fraction,Qplus,Qminus,net_force,analytic_force,force_scaling_relerr,outward,opposing,cancellation,F25,F50,F75,F90,F99,f_part,eta_op,e4_force,V_force,negative_active_net_force,positive_active_net_force,sigma0_interface_cells,top50_mean_distance_to_sigma0,top50_median_distance_to_sigma0,top50_connected_components,top50_largest_component_energy_fraction
0.625,BLIND_WILDCARD_DIAGNOSTIC,0.24188507966030626,0.010473348395032262,2232.396659903454,105.58545934332997,2043.0429558227006,83.76824473742406,-2697.844419627358,-1.2084968895017223,11747.06017297906,3918.549422170553,1.7553105559385767,0.6879028730878848,3922.627813980332,4.078394007643079,-866.6925065031721,-866.6925065031728,7.870392569584297e-16,4390.492891766649,5257.185398269821,11.131604597531108,0.011981617376859339,0.03899885189190172,0.08841996469500221,0.1422639513576917,0.21705310566375385,0.09081140925131553,-0.022714952776406106,-1022.9650414463202,156.27253494314877,51.650637276124,-918.3431437792979,44504,0.17390464969317698,0.14001783891777747,1,1.0
0.75,MAIN,0.2902620955923675,0.012568018074038716,1973.9898746371816,126.70255121199597,1702.535796518917,144.75152690626877,-1522.1048861174868,-0.7710803918876478,7597.476896845239,3115.5685392252967,1.5783102939157359,0.6931073677401828,3126.6349384891696,11.066401095284089,-404.46661631262,-404.46661631262054,1.4053921032848004e-15,2489.700112076423,2894.1667283890433,13.311028953509906,0.012296097331611602,0.03898812619238297,0.08792761500642136,0.14162809843631877,0.22028301528574068,0.09091900944582655,-0.017263085199316942,-591.9936582443984,187.52704193177837,81.52559000587702,-485.99220631849767,44376,0.14835988918251877,0.10626606816833818,1,1.0
0.875,MAIN,0.33863911152442877,0.014662687753045169,1836.996103656368,147.81964308066196,1459.3163970162148,229.8600635594916,-710.7617865795177,-0.3869152390496709,5613.444147447352,2458.912666913446,1.3385508341684622,0.6981458810401054,2485.158671776883,26.24600643301498,-154.0191221606126,-154.01912216061282,1.4762691297910678e-15,1539.408937407302,1693.4280595679143,20.9898417263019,0.011946485209856077,0.0383517223785148,0.08694541702506625,0.14154650058208654,0.22516558022349523,0.07966001570013692,-0.009614808543046697,-372.8006710810205,218.78154892040806,115.63233257119013,-269.6514547318029,44460,0.1234366298255252,0.08766503364717448,1,1.0
0.95,MAIN,0.3676653210836655,0.01591948956044904,1798.7750979947975,160.48989820186156,1344.1072077780925,294.17799201484365,-316.9298247702104,-0.17619202374077286,4934.384894897781,2099.858431526498,1.1673824225537346,0.7012438093874396,2142.3138731723584,42.45544309136718,-53.75873370298274,-53.75873370298308,6.344281006491092e-15,1196.6327770688083,1250.391510771791,45.518637052733055,0.011216247892987717,0.03748224205025531,0.08617166208473194,0.14148379302247882,0.23049972091245763,0.06676044678188751,-0.004039964047400999,-291.29298681656866,237.5342531135858,137.59731092883902,-191.35604463182267,44184,0.1312767770070975,0.09517917938836086,1,1.0
0.975,MAIN,0.37734072427007775,0.01633842349625033,1792.375341587834,164.71331657559475,1309.642920399167,318.01910461307244,-195.76645126600522,-0.10922179452244592,4762.551446129409,1983.2476315721892,1.1064912496593848,0.7022579449963624,2032.808309505662,49.56067934185517,-25.670311234886924,-25.670311234887038,4.428728451375799e-15,1106.9349842165261,1132.6052954514132,87.24242800080738,0.010980003383673739,0.03709091239314699,0.08564831220365124,0.14147820638493303,0.23332332616938722,0.061964694503495434,-0.0020392455867783202,-269.4554657461987,243.78515451131187,145.05793752212367,-170.72824875701053,44064,0.13395657348550996,0.097683894635423,1,1.0
1.0,MAIN,0.38701612745649,0.01675735743205162,1788.9533127830045,168.93673494932796,1276.9018473891879,343.11473044448894,-78.6209211063931,-0.04394800051214619,4612.492077445309,1867.5742338893979,1.0439480005121462,0.7033204014803104,1925.3270080221698,57.75277550588223,0.2887313371821847,0.28873133718201416,5.906191487445725e-13,1027.214516510342,1026.9257851731597,7114.365630452415,0.010649516932169895,0.036656699126701595,0.08521050313746213,0.14139169453872052,0.2366223664908712,0.05715898830008547,2.4174251802506373e-05,-249.7473245718558,250.03605590903783,152.60507392589756,-152.3163425887151,44088,0.1299851574134895,0.10018860988248512,1,1.0
1.025,MAIN,0.3966915306429022,0.01717629136785291,1788.4150897300237,173.16015332306114,1245.7578998918907,369.4970365150721,35.017915098914045,0.019580418047244443,4481.616198809485,1752.5217267536373,0.9799300715015747,0.7044065135712965,1819.6552714273769,67.13354601329334,24.371738830555273,24.371738830555074,8.163224109532903e-15,956.3694530813347,931.9977142507794,77.48183994835179,0.010013486609166298,0.03593727544994568,0.084670507982842,0.141166415535941,0.2405977031464951,0.05247193347630901,0.0021444901054247533,-231.91521847620828,256.28695730676367,160.26054023765437,-135.8888014070991,44040,0.12926849440512161,0.10269332512954725,1,1.0
1.05,MAIN,0.4063669338293145,0.0175952253036542,1790.678759041108,177.38357169679435,1216.0969975135122,397.19818983080154,145.60108921493975,0.08131055806620938,4367.694452618443,1637.7976153654213,0.9146239140304802,0.7054876846172595,1715.6560649999712,77.85845094213974,46.796729606676934,46.796729606676735,4.251407474090704e-15,893.3358502926714,846.5391206859945,37.17941372403983,0.009348255624768518,0.035349432397273284,0.08437899091307116,0.14130720161472163,0.24492839645827502,0.04799658857398365,0.004315534029403393,-215.74112909781297,262.53785870448985,167.87778417567407,-121.08105456899705,44072,0.12672759251969123,0.10519804037660939,1,1.0
1.125,MAIN,0.43539314338855123,0.018852027111058073,1813.6140944725958,190.05382681799395,1135.0238643459447,488.5364033086571,462.790375464907,0.25517577133711444,4109.642388972905,1292.9749220745753,0.7129272572457461,0.7088257404416747,1413.1447395350433,120.16981868065922,105.88503452895688,105.88503452895674,1.3421022884320536e-15,744.0722111847035,638.1871766557465,13.054341380626711,0.007267826729113803,0.03268934530317845,0.08232180297452338,0.14209777606530125,0.2600406737066613,0.03652302412151196,0.011067585131145944,-175.40552836871075,281.2905628976676,191.00271866412925,-85.1176841351724,43728,0.129855558403081,0.11271218611779577,1,1.0
1.25,MAIN,0.4837701593206125,0.020946696790064525,1902.8383544974026,211.17091868665995,1021.5214779113503,670.1459578993924,960.0698515787897,0.5045461950615208,3880.907970060195,702.7510400239157,0.3693172561730992,0.7143040586583105,942.1451168501679,239.39407792398495,184.67443970550727,184.6744397055071,9.23410174436493e-16,596.2527787875975,411.5783390820903,5.457339518543198,0.0035510566301189873,0.025585882325005353,0.07749639205350677,0.14859980728987512,0.30106132194555485,0.02455478186866552,0.022713446869998495,-127.87063018079003,312.54506988629754,229.882024174883,-45.207584469375774,43304,0.15750439795989724,0.17711011361389695,3,0.6362328949988284
